Cross 1,Cross 2,Cross 3,Cross 4,Cross 5,Cross 6,City_Average_Traffic,Time,Hour,Peak,Congestion_Index,Congestion_Level
34,14,14,24,12,41,23.16666667,01-01-2024 01:55,1,0,0.382530716,Low
25,9,7,9,5,25,13.33333333,01-01-2024 02:00,2,0,0.220161563,Low
33,17,11,28,12,36,22.83333333,01-01-2024 02:05,2,0,0.377026677,Low
34,15,12,26,10,21,19.66666667,01-01-2024 02:10,2,0,0.324738306,Low
17,9,12,22,9,28,16.16666667,01-01-2024 02:15,2,0,0.266945896,Low
29,16,18,18,10,28,19.83333333,01-01-2024 02:20,2,0,0.327490326,Low
24,13,6,22,5,34,17.33333333,01-01-2024 02:25,2,0,0.286210032,Low
23,14,10,23,11,38,19.83333333,01-01-2024 02:30,2,0,0.327490326,Low
31,16,8,15,5,23,16.33333333,01-01-2024 02:35,2,0,0.269697915,Low
23,12,8,16,12,27,16.33333333,01-01-2024 02:40,2,0,0.269697915,Low
20,5,9,17,11,30,15.33333333,01-01-2024 02:45,2,0,0.253185798,Low
22,16,4,16,6,19,13.83333333,01-01-2024 02:50,2,0,0.228417622,Low
25,10,5,40,4,26,18.33333333,01-01-2024 02:55,2,0,0.30272215,Low
15,1,9,7,10,27,11.5,01-01-2024 03:00,3,0,0.189889348,Low
17,7,9,13,12,18,12.66666667,01-01-2024 03:05,3,0,0.209153485,Low
22,9,6,12,5,30,14,01-01-2024 03:10,3,0,0.231169642,Low
16,5,7,11,5,17,10.16666667,01-01-2024 03:15,3,0,0.167873192,Low
22,10,5,16,3,19,12.5,01-01-2024 03:20,3,0,0.206401466,Low
16,5,2,18,2,18,10.16666667,01-01-2024 03:25,3,0,0.167873192,Low
16,1,5,8,5,19,9,01-01-2024 03:30,3,0,0.148609055,Low
9,8,5,12,6,8,8,01-01-2024 03:35,3,0,0.132096938,Low
16,8,4,7,7,15,9.5,01-01-2024 03:40,3,0,0.156865114,Low
10,4,8,14,8,23,11.16666667,01-01-2024 03:45,3,0,0.184385309,Low
11,9,3,11,1,18,8.833333333,01-01-2024 03:50,3,0,0.145857036,Low
14,4,7,7,3,13,8,01-01-2024 03:55,3,0,0.132096938,Low
15,5,6,10,2,25,10.5,01-01-2024 04:00,4,0,0.173377231,Low
22,2,5,8,6,18,10.16666667,01-01-2024 04:05,4,0,0.167873192,Low
20,2,4,13,3,14,9.333333333,01-01-2024 04:10,4,0,0.154113094,Low
18,12,3,14,3,23,12.16666667,01-01-2024 04:15,4,0,0.200897427,Low
21,10,11,12,8,21,13.83333333,01-01-2024 04:20,4,0,0.228417622,Low
18,4,5,13,4,13,9.5,01-01-2024 04:25,4,0,0.156865114,Low
15,3,7,10,10,13,9.666666667,01-01-2024 04:30,4,0,0.159617133,Low
24,10,5,13,1,18,11.83333333,01-01-2024 04:35,4,0,0.195393388,Low
18,8,5,8,5,13,9.5,01-01-2024 04:40,4,0,0.156865114,Low
15,6,11,8,6,19,10.83333333,01-01-2024 04:45,4,0,0.17888127,Low
9,4,4,10,3,15,7.5,01-01-2024 04:50,4,0,0.123840879,Low
15,3,5,5,6,26,10,01-01-2024 04:55,4,0,0.165121173,Low
15,6,5,13,6,18,10.5,01-01-2024 05:00,5,0,0.173377231,Low
16,3,5,5,4,15,8,01-01-2024 05:05,5,0,0.132096938,Low
14,2,5,7,2,23,8.833333333,01-01-2024 05:10,5,0,0.145857036,Low
12,5,6,11,3,23,10,01-01-2024 05:15,5,0,0.165121173,Low
19,4,10,11,7,13,10.66666667,01-01-2024 05:20,5,0,0.176129251,Low
17,5,8,9,1,24,10.66666667,01-01-2024 05:25,5,0,0.176129251,Low
40,12,6,13,5,18,15.66666667,01-01-2024 05:30,5,0,0.258689837,Low
23,15,5,15,2,16,12.66666667,01-01-2024 05:35,5,0,0.209153485,Low
29,13,8,12,6,9,12.83333333,01-01-2024 05:40,5,0,0.211905505,Low
18,9,12,18,7,25,14.83333333,01-01-2024 05:45,5,0,0.244929739,Low
31,11,7,13,2,19,13.83333333,01-01-2024 05:50,5,0,0.228417622,Low
23,11,13,15,5,22,14.83333333,01-01-2024 05:55,5,0,0.244929739,Low
41,15,15,8,3,18,16.66666667,01-01-2024 06:00,6,0,0.275201954,Low
23,17,11,27,8,17,17.16666667,01-01-2024 06:05,6,0,0.283458013,Low
34,16,21,15,2,17,17.5,01-01-2024 06:10,6,0,0.288962052,Low
37,18,19,19,6,32,21.83333333,01-01-2024 06:15,6,0,0.36051456,Low
33,18,19,21,7,32,21.66666667,01-01-2024 06:20,6,0,0.357762541,Low
45,25,15,24,2,25,22.66666667,01-01-2024 06:25,6,0,0.374274658,Low
33,20,32,19,12,33,24.83333333,01-01-2024 06:30,6,0,0.410050912,Low
30,20,18,25,7,25,20.83333333,01-01-2024 06:35,6,0,0.344002443,Low
42,24,21,16,9,25,22.83333333,01-01-2024 06:40,6,0,0.377026677,Low
35,23,21,30,13,37,26.5,01-01-2024 06:45,6,0,0.437571107,Low
51,26,22,29,9,26,27.16666667,01-01-2024 06:50,6,0,0.448579185,Low
44,27,23,24,14,36,28,01-01-2024 06:55,6,0,0.462339283,Low
62,36,21,31,5,24,29.83333333,01-01-2024 07:00,7,0,0.492611498,Low
58,33,27,27,8,38,31.83333333,01-01-2024 07:05,7,0,0.525635733,Low
45,29,22,32,12,32,28.66666667,01-01-2024 07:10,7,0,0.473347361,Low
69,32,35,34,15,59,40.66666667,01-01-2024 07:15,7,0,0.671492768,Low
56,44,33,45,16,57,41.83333333,01-01-2024 07:20,7,0,0.690756905,Low
56,28,33,33,18,48,36,01-01-2024 07:25,7,0,0.594436221,Low
87,48,29,47,13,53,46.16666667,01-01-2024 07:30,7,0,0.762309413,Low
72,48,28,41,22,64,45.83333333,01-01-2024 07:35,7,0,0.756805374,Low
90,39,36,50,18,67,50,01-01-2024 07:40,7,0,0.825605863,Low
75,46,37,46,34,58,49.33333333,01-01-2024 07:45,7,0,0.814597785,Low
85,49,41,48,21,77,53.5,01-01-2024 07:50,7,0,0.883398273,Low
85,51,48,53,24,50,51.83333333,01-01-2024 07:55,7,0,0.855878078,Low
69,48,51,36,30,71,50.83333333,01-01-2024 08:00,8,1,0.83936596,Low
84,59,37,72,23,73,58,01-01-2024 08:05,8,1,0.957702801,Low
99,55,58,58,24,79,62.16666667,01-01-2024 08:10,8,1,1.026503289,Medium
98,61,61,65,27,46,59.66666667,01-01-2024 08:15,8,1,0.985222996,Low
99,71,40,79,35,94,69.66666667,01-01-2024 08:20,8,1,1.150344169,Medium
85,58,51,60,44,99,66.16666667,01-01-2024 08:25,8,1,1.092551758,Medium
101,77,44,80,41,88,71.83333333,01-01-2024 08:30,8,1,1.186120423,Medium
102,63,54,65,33,91,68,01-01-2024 08:35,8,1,1.122823973,Medium
110,83,59,82,47,93,79,01-01-2024 08:40,8,1,1.304457263,High
125,67,45,78,20,111,74.33333333,01-01-2024 08:45,8,1,1.227400716,Medium
99,76,57,75,37,93,72.83333333,01-01-2024 08:50,8,1,1.20263254,Medium
110,86,38,81,44,120,79.83333333,01-01-2024 08:55,8,1,1.318217361,High
135,79,60,88,43,115,86.66666667,01-01-2024 09:00,9,1,1.431050162,High
102,70,51,94,61,111,81.5,01-01-2024 09:05,9,1,1.345737556,High
124,79,52,72,41,89,76.16666667,01-01-2024 09:10,9,1,1.257672931,Medium
125,81,50,83,34,131,84,01-01-2024 09:15,9,1,1.387017849,High
118,60,54,86,47,128,82.16666667,01-01-2024 09:20,9,1,1.356745635,High
153,91,45,82,43,136,91.66666667,01-01-2024 09:25,9,1,1.513610748,High
151,99,61,75,38,126,91.66666667,01-01-2024 09:30,9,1,1.513610748,High
139,86,52,89,43,98,84.5,01-01-2024 09:35,9,1,1.395273908,High
120,83,59,93,42,121,86.33333333,01-01-2024 09:40,9,1,1.425546123,High
146,96,49,110,44,128,95.5,01-01-2024 09:45,9,1,1.576907198,High
122,82,69,98,44,147,93.66666667,01-01-2024 09:50,9,1,1.546634983,High
155,84,38,67,37,156,89.5,01-01-2024 09:55,9,1,1.477834494,High
137,86,61,95,41,120,90,01-01-2024 10:00,10,1,1.486090553,High
148,80,58,107,46,135,95.66666667,01-01-2024 10:05,10,1,1.579659217,High
122,91,51,96,43,140,90.5,01-01-2024 10:10,10,1,1.494346612,High
133,86,55,72,40,137,87.16666667,01-01-2024 10:15,10,1,1.439306221,High
171,91,50,85,29,143,94.83333333,01-01-2024 10:20,10,1,1.56589912,High
155,83,56,85,41,142,93.66666667,01-01-2024 10:25,10,1,1.546634983,High
122,107,57,90,37,118,88.5,01-01-2024 10:30,10,1,1.461322377,High
121,68,47,104,49,135,87.33333333,01-01-2024 10:35,10,1,1.44205824,High
145,97,56,109,53,128,98,01-01-2024 10:40,10,1,1.618187491,High
136,84,41,92,47,108,84.66666667,01-01-2024 10:45,10,1,1.398025928,High
155,86,52,101,37,149,96.66666667,01-01-2024 10:50,10,1,1.596171335,High
141,92,72,99,53,112,94.83333333,01-01-2024 10:55,10,1,1.56589912,High
123,93,53,75,39,185,94.66666667,01-01-2024 11:00,11,0,1.5631471,High
136,84,43,93,36,129,86.83333333,01-01-2024 11:05,11,0,1.433802182,High
120,75,61,101,35,144,89.33333333,01-01-2024 11:10,11,0,1.475082475,High
133,75,39,74,43,113,79.5,01-01-2024 11:15,11,0,1.312713322,High
123,65,53,81,45,165,88.66666667,01-01-2024 11:20,11,0,1.464074397,High
140,94,38,87,36,147,90.33333333,01-01-2024 11:25,11,0,1.491594592,High
168,117,61,103,50,139,106.3333333,01-01-2024 11:30,11,0,1.755788468,High
160,97,58,99,55,120,98.16666667,01-01-2024 11:35,11,0,1.620939511,High
127,86,41,93,37,164,91.33333333,01-01-2024 11:40,11,0,1.508106709,High
176,115,48,118,40,141,106.3333333,01-01-2024 11:45,11,0,1.755788468,High
151,85,52,113,50,147,99.66666667,01-01-2024 11:50,11,0,1.645707686,High
125,82,51,84,52,113,84.5,01-01-2024 11:55,11,0,1.395273908,High
136,81,56,89,46,141,91.5,01-01-2024 12:00,12,0,1.510858729,High
135,92,54,93,52,128,92.33333333,01-01-2024 12:05,12,0,1.524618827,High
127,77,36,58,43,118,76.5,01-01-2024 12:10,12,0,1.26317697,Medium
134,84,56,97,36,124,88.5,01-01-2024 12:15,12,0,1.461322377,High
129,83,43,101,45,105,84.33333333,01-01-2024 12:20,12,0,1.392521889,High
122,84,54,96,30,116,83.66666667,01-01-2024 12:25,12,0,1.38151381,High
151,74,41,91,41,124,87,01-01-2024 12:30,12,0,1.436554201,High
127,88,38,92,29,131,84.16666667,01-01-2024 12:35,12,0,1.389769869,High
133,86,39,58,48,123,81.16666667,01-01-2024 12:40,12,0,1.340233517,High
106,50,47,69,39,137,74.66666667,01-01-2024 12:45,12,0,1.232904755,Medium
132,79,46,75,35,119,81,01-01-2024 12:50,12,0,1.337481498,High
136,88,61,91,39,153,94.66666667,01-01-2024 12:55,12,0,1.5631471,High
122,62,47,92,52,131,84.33333333,01-01-2024 13:00,13,0,1.392521889,High
127,93,52,93,41,120,87.66666667,01-01-2024 13:05,13,0,1.447562279,High
121,86,44,87,36,120,82.33333333,01-01-2024 13:10,13,0,1.359497654,High
132,80,69,98,39,109,87.83333333,01-01-2024 13:15,13,0,1.450314299,High
148,94,46,67,39,162,92.66666667,01-01-2024 13:20,13,0,1.530122866,High
149,104,50,92,35,142,95.33333333,01-01-2024 13:25,13,0,1.574155178,High
132,72,66,87,47,128,88.66666667,01-01-2024 13:30,13,0,1.464074397,High
153,83,54,83,24,147,90.66666667,01-01-2024 13:35,13,0,1.497098631,High
125,93,56,86,42,114,86,01-01-2024 13:40,13,0,1.420042084,High
145,97,61,106,53,138,100,01-01-2024 13:45,13,0,1.651211726,High
155,93,65,93,51,167,104,01-01-2024 13:50,13,0,1.717260195,High
131,110,46,94,38,159,96.33333333,01-01-2024 13:55,13,0,1.590667296,High
148,88,53,99,42,130,93.33333333,01-01-2024 14:00,14,0,1.541130944,High
142,97,51,107,40,130,94.5,01-01-2024 14:05,14,0,1.560395081,High
168,99,55,110,41,142,102.5,01-01-2024 14:10,14,0,1.692492019,High
143,99,50,73,48,170,97.16666667,01-01-2024 14:15,14,0,1.604427393,High
163,84,67,104,48,147,102.1666667,01-01-2024 14:20,14,0,1.68698798,High
173,116,44,114,36,135,103,01-01-2024 14:25,14,0,1.700748077,High
128,88,59,85,47,147,92.33333333,01-01-2024 14:30,14,0,1.524618827,High
137,87,52,84,38,150,91.33333333,01-01-2024 14:35,14,0,1.508106709,High
158,83,77,100,52,126,99.33333333,01-01-2024 14:40,14,0,1.640203647,High
145,104,50,118,47,172,106,01-01-2024 14:45,14,0,1.750284429,High
143,110,59,98,50,150,101.6666667,01-01-2024 14:50,14,0,1.678731921,High
165,82,54,98,43,139,96.83333333,01-01-2024 14:55,14,0,1.598923354,High
156,103,50,113,38,131,98.5,01-01-2024 15:00,15,0,1.62644355,High
154,97,54,120,41,142,101.3333333,01-01-2024 15:05,15,0,1.673227882,High
146,97,48,57,40,149,89.5,01-01-2024 15:10,15,0,1.477834494,High
144,86,56,107,60,157,101.6666667,01-01-2024 15:15,15,0,1.678731921,High
124,89,46,104,33,127,87.16666667,01-01-2024 15:20,15,0,1.439306221,High
140,107,64,95,37,143,97.66666667,01-01-2024 15:25,15,0,1.612683452,High
150,102,47,101,45,148,98.83333333,01-01-2024 15:30,15,0,1.631947589,High
173,86,60,132,50,158,109.8333333,01-01-2024 15:35,15,0,1.813580879,High
147,105,70,111,68,139,106.6666667,01-01-2024 15:40,15,0,1.761292507,High
149,110,59,84,56,125,97.16666667,01-01-2024 15:45,15,0,1.604427393,High
159,73,48,103,55,121,93.16666667,01-01-2024 15:50,15,0,1.538378924,High
175,78,64,88,26,180,101.8333333,01-01-2024 15:55,15,0,1.681483941,High
142,116,70,109,47,133,102.8333333,01-01-2024 16:00,16,0,1.697996058,High
179,82,54,86,44,130,95.83333333,01-01-2024 16:05,16,0,1.582411237,High
132,90,53,119,42,156,98.66666667,01-01-2024 16:10,16,0,1.629195569,High
173,97,44,98,44,160,102.6666667,01-01-2024 16:15,16,0,1.695244038,High
152,115,68,115,62,130,107,01-01-2024 16:20,16,0,1.766796546,High
162,95,67,101,45,175,107.5,01-01-2024 16:25,16,0,1.775052605,High
153,98,43,124,53,144,102.5,01-01-2024 16:30,16,0,1.692492019,High
122,92,72,88,55,126,92.5,01-01-2024 16:35,16,0,1.527370846,High
169,85,55,94,46,182,105.1666667,01-01-2024 16:40,16,0,1.736524331,High
157,110,61,105,50,126,101.5,01-01-2024 16:45,16,0,1.675979901,High
158,96,54,82,54,141,97.5,01-01-2024 16:50,16,0,1.609931432,High
156,93,58,107,45,178,106.1666667,01-01-2024 16:55,16,0,1.753036449,High
151,110,50,103,47,138,99.83333333,01-01-2024 17:00,17,1,1.648459706,High
160,85,60,111,38,142,99.33333333,01-01-2024 17:05,17,1,1.640203647,High
157,92,57,83,59,179,104.5,01-01-2024 17:10,17,1,1.725516253,High
145,86,54,119,47,113,94,01-01-2024 17:15,17,1,1.552139022,High
140,111,70,100,38,152,101.8333333,01-01-2024 17:20,17,1,1.681483941,High
165,93,37,82,52,149,96.33333333,01-01-2024 17:25,17,1,1.590667296,High
172,94,51,121,41,116,99.16666667,01-01-2024 17:30,17,1,1.637451628,High
133,100,54,96,49,170,100.3333333,01-01-2024 17:35,17,1,1.656715765,High
175,111,64,110,50,188,116.3333333,01-01-2024 17:40,17,1,1.920909641,High
174,77,54,132,47,121,100.8333333,01-01-2024 17:45,17,1,1.664971823,High
154,112,71,95,70,198,116.6666667,01-01-2024 17:50,17,1,1.92641368,High
170,101,60,96,50,185,110.3333333,01-01-2024 17:55,17,1,1.821836937,High
181,88,59,111,57,110,101,01-01-2024 18:00,18,1,1.667723843,High
160,103,60,126,44,172,110.8333333,01-01-2024 18:05,18,1,1.830092996,High
161,114,51,87,51,184,108,01-01-2024 18:10,18,1,1.783308664,High
183,86,72,117,51,122,105.1666667,01-01-2024 18:15,18,1,1.736524331,High
159,110,73,111,53,160,111,01-01-2024 18:20,18,1,1.832845015,High
178,118,59,106,51,184,116,01-01-2024 18:25,18,1,1.915405602,High
173,97,55,111,51,130,102.8333333,01-01-2024 18:30,18,1,1.697996058,High
143,103,63,108,48,153,103,01-01-2024 18:35,18,1,1.700748077,High
154,111,62,128,49,161,110.8333333,01-01-2024 18:40,18,1,1.830092996,High
137,102,53,96,37,126,91.83333333,01-01-2024 18:45,18,1,1.516362768,High
156,70,56,105,47,172,101,01-01-2024 18:50,18,1,1.667723843,High
166,109,61,115,48,171,111.6666667,01-01-2024 18:55,18,1,1.843853094,High
141,103,36,84,41,139,90.66666667,01-01-2024 19:00,19,1,1.497098631,High
123,67,72,106,45,132,90.83333333,01-01-2024 19:05,19,1,1.499850651,High
174,89,47,82,42,129,93.83333333,01-01-2024 19:10,19,1,1.549387002,High
149,68,50,125,39,168,99.83333333,01-01-2024 19:15,19,1,1.648459706,High
141,61,38,76,39,115,78.33333333,01-01-2024 19:20,19,1,1.293449185,Medium
141,86,66,82,49,118,90.33333333,01-01-2024 19:25,19,1,1.491594592,High
137,73,61,83,51,124,88.16666667,01-01-2024 19:30,19,1,1.455818338,High
145,71,51,108,27,159,93.5,01-01-2024 19:35,19,1,1.543882963,High
142,71,44,71,41,114,80.5,01-01-2024 19:40,19,1,1.329225439,High
138,84,57,94,54,126,92.16666667,01-01-2024 19:45,19,1,1.521866807,High
132,71,51,97,41,149,90.16666667,01-01-2024 19:50,19,1,1.488842573,High
140,79,55,79,60,142,92.5,01-01-2024 19:55,19,1,1.527370846,High
135,64,54,81,52,161,91.16666667,01-01-2024 20:00,20,0,1.50535469,High
107,45,49,74,40,130,74.16666667,01-01-2024 20:05,20,0,1.224648696,Medium
143,57,44,76,47,114,80.16666667,01-01-2024 20:10,20,0,1.3237214,High
143,87,53,71,41,150,90.83333333,01-01-2024 20:15,20,0,1.499850651,High
147,72,54,83,40,124,86.66666667,01-01-2024 20:20,20,0,1.431050162,High
133,73,51,86,31,120,82.33333333,01-01-2024 20:25,20,0,1.359497654,High
138,77,44,89,54,132,89,01-01-2024 20:30,20,0,1.469578436,High
157,82,43,95,40,126,90.5,01-01-2024 20:35,20,0,1.494346612,High
136,80,42,94,42,141,89.16666667,01-01-2024 20:40,20,0,1.472330455,High
123,75,64,96,35,141,89,01-01-2024 20:45,20,0,1.469578436,High
159,54,35,68,29,107,75.33333333,01-01-2024 20:50,20,0,1.243912833,Medium
155,72,59,75,40,142,90.5,01-01-2024 20:55,20,0,1.494346612,High
160,81,48,98,38,128,92.16666667,01-01-2024 21:00,21,0,1.521866807,High
130,67,59,98,51,152,92.83333333,01-01-2024 21:05,21,0,1.532874885,High
127,71,41,66,52,138,82.5,01-01-2024 21:10,21,0,1.362249674,High
126,58,36,80,26,114,73.33333333,01-01-2024 21:15,21,0,1.210888599,Medium
134,44,36,73,39,107,72.16666667,01-01-2024 21:20,21,0,1.191624462,Medium
140,66,57,72,30,117,80.33333333,01-01-2024 21:25,21,0,1.32647342,High
141,85,38,69,39,112,80.66666667,01-01-2024 21:30,21,0,1.331977459,High
128,72,48,85,27,124,80.66666667,01-01-2024 21:35,21,0,1.331977459,High
135,85,34,96,33,129,85.33333333,01-01-2024 21:40,21,0,1.409034006,High
142,43,34,70,37,109,72.5,01-01-2024 21:45,21,0,1.197128501,Medium
102,56,40,70,22,133,70.5,01-01-2024 21:50,21,0,1.164104267,Medium
113,68,47,67,33,110,73,01-01-2024 21:55,21,0,1.20538456,Medium
145,65,47,92,39,105,82.16666667,01-01-2024 22:00,22,0,1.356745635,High
128,51,38,78,36,117,74.66666667,01-01-2024 22:05,22,0,1.232904755,Medium
131,71,48,78,43,140,85.16666667,01-01-2024 22:10,22,0,1.406281986,High
134,61,33,72,33,97,71.66666667,01-01-2024 22:15,22,0,1.183368403,Medium
109,47,37,72,41,109,69.16666667,01-01-2024 22:20,22,0,1.14208811,Medium
107,65,30,72,33,118,70.83333333,01-01-2024 22:25,22,0,1.169608306,Medium
134,62,44,75,27,75,69.5,01-01-2024 22:30,22,0,1.147592149,Medium
128,51,29,66,33,89,66,01-01-2024 22:35,22,0,1.089799739,Medium
92,61,37,86,38,124,73,01-01-2024 22:40,22,0,1.20538456,Medium
101,44,33,57,29,100,60.66666667,01-01-2024 22:45,22,0,1.001735114,Medium
106,38,42,50,29,68,55.5,01-01-2024 22:50,22,0,0.916422508,Low
90,40,33,43,16,111,55.5,01-01-2024 22:55,22,0,0.916422508,Low
86,33,21,54,27,78,49.83333333,01-01-2024 23:00,23,0,0.822853843,Low
97,47,27,60,23,62,52.66666667,01-01-2024 23:05,23,0,0.869638175,Low
117,46,28,40,22,76,54.83333333,01-01-2024 23:10,23,0,0.90541443,Low
80,49,28,51,35,83,54.33333333,01-01-2024 23:15,23,0,0.897158371,Low
59,30,32,69,26,72,48,01-01-2024 23:20,23,0,0.792581628,Low
71,33,28,44,21,67,44,01-01-2024 23:25,23,0,0.726533159,Low
66,40,26,37,18,89,46,01-01-2024 23:30,23,0,0.759557394,Low
44,31,21,50,24,91,43.5,01-01-2024 23:35,23,0,0.718277101,Low
78,28,24,43,24,70,44.5,01-01-2024 23:40,23,0,0.734789218,Low
73,43,37,43,21,60,46.16666667,01-01-2024 23:45,23,0,0.762309413,Low
79,38,14,53,26,50,43.33333333,01-01-2024 23:50,23,0,0.715525081,Low
44,33,18,49,15,77,39.33333333,01-01-2024 23:55,23,0,0.649476612,Low
64.5,32.5,22,34,22,55.5,38.41666667,02-01-2024 00:00,0,0,0.634340505,Low
65.5,39.5,24,48.5,15,55.5,41.33333333,02-01-2024 00:05,0,0,0.682500847,Low
47.5,19.5,19,20.5,17,53.5,29.5,02-01-2024 00:10,0,0,0.487107459,Low
56,31,20,39.5,18,55.5,36.66666667,02-01-2024 00:15,0,0,0.605444299,Low
47,22,19,35.5,16,42.5,30.33333333,02-01-2024 00:20,0,0,0.500867557,Low
40,22,19,24,10,65,30,02-01-2024 00:25,0,0,0.495363518,Low
51.5,25.5,12,36,19,53.5,32.91666667,02-01-2024 00:30,0,0,0.54352386,Low
53.5,23,16,36.5,13,52,32.33333333,02-01-2024 00:35,0,0,0.533891791,Low
44.5,26,15,37,13,46,30.25,02-01-2024 00:40,0,0,0.499491547,Low
45.5,32.5,19,21.5,7,41.5,27.83333333,02-01-2024 00:45,0,0,0.459587264,Low
33.5,17,17,28,16,42.5,25.66666667,02-01-2024 00:50,0,0,0.42381101,Low
53.5,21,24,23.5,16,48.5,31.08333333,02-01-2024 00:55,0,0,0.513251645,Low
48,18.5,13,31.5,10,45,27.66666667,02-01-2024 01:00,1,0,0.456835244,Low
41,16,8,21,8,41,22.5,02-01-2024 01:05,1,0,0.371522638,Low
30.5,13,7,20,7,28.5,17.66666667,02-01-2024 01:10,1,0,0.291714072,Low
27,18.5,14,24.5,17,29.5,21.75,02-01-2024 01:15,1,0,0.35913855,Low
42.5,20.5,12,36.5,4,16.5,22,02-01-2024 01:20,1,0,0.36326658,Low
28,12.5,4,14.5,7,29.5,15.91666667,02-01-2024 01:25,1,0,0.262817866,Low
18.5,14.5,7,14.5,10,21.5,14.33333333,02-01-2024 01:30,1,0,0.236673681,Low
24,13,8,15.5,5,29.5,15.83333333,02-01-2024 01:35,1,0,0.261441857,Low
25.5,9,9,20,4,25,15.41666667,02-01-2024 01:40,1,0,0.254561808,Low
16,9.5,9,16,7,17.5,12.5,02-01-2024 01:45,1,0,0.206401466,Low
21,8.5,8,13,8,21.5,13.33333333,02-01-2024 01:50,1,0,0.220161563,Low
20,6,9,24,6,23.5,14.75,02-01-2024 01:55,1,0,0.24355373,Low
2.5,0.5,1,2.5,1,4,1.916666667,02-01-2024 02:00,2,0,0.031648225,Low
9.5,5.5,5,10.5,5,19,9.083333333,02-01-2024 02:05,2,0,0.149985065,Low
18.5,4.5,7,13,2,12.5,9.583333333,02-01-2024 02:10,2,0,0.158241124,Low
13,4,6,7.5,3,15.5,8.166666667,02-01-2024 02:15,2,0,0.134848958,Low
7,4.5,3,10.5,2,14.5,6.916666667,02-01-2024 02:20,2,0,0.114208811,Low
11,1.5,2,6,1,11.5,5.5,02-01-2024 02:25,2,0,0.090816645,Low
8.5,2.5,2,11,2,10,6,02-01-2024 02:30,2,0,0.099072704,Low
2,0.5,0,22.5,4,13.5,7.083333333,02-01-2024 02:35,2,0,0.116960831,Low
6,9,4,16,2,10.5,7.916666667,02-01-2024 02:40,2,0,0.130720928,Low
32.5,8,0,10,1,14.5,11,02-01-2024 02:45,2,0,0.18163329,Low
11.5,7.5,3,6.5,4,12,7.416666667,02-01-2024 02:50,2,0,0.12246487,Low
6,1,3,6.5,4,15.5,6,02-01-2024 02:55,2,0,0.099072704,Low
8,4,3,7.5,4,10,6.083333333,02-01-2024 03:00,3,0,0.100448713,Low
10,3,1,2.5,4,12,5.416666667,02-01-2024 03:05,3,0,0.089440635,Low
12,2.5,3,8.5,5,13.5,7.416666667,02-01-2024 03:10,3,0,0.12246487,Low
10,1.5,5,11.5,5,12.5,7.583333333,02-01-2024 03:15,3,0,0.125216889,Low
11.5,7,4,15.5,4,7.5,8.25,02-01-2024 03:20,3,0,0.136224967,Low
7.5,1.5,4,18,2,12,7.5,02-01-2024 03:25,3,0,0.123840879,Low
6.5,2,5,20.5,3,14.5,8.583333333,02-01-2024 03:30,3,0,0.141729006,Low
7.5,1.5,2,22,3,24,10,02-01-2024 03:35,3,0,0.165121173,Low
5,2,1,22,1,18.5,8.25,02-01-2024 03:40,3,0,0.136224967,Low
14,1.5,3,15,3,29,10.91666667,02-01-2024 03:45,3,0,0.18025728,Low
12,1,2,9.5,1,15,6.75,02-01-2024 03:50,3,0,0.111456791,Low
